%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
99.0, 822.9855546993203, -330.5005689342506, 6.797268169466406, 10.712943423073739, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695235502657081E9, 0.0, 2023-09-20 15:45:02.657
99.0, 813.9723958061077, -477.8208380388096, -41.20808766176924, 5.469603685196489, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695235502657081E9, 0.0, 2023-09-20 15:45:02.657
100.0, 745.1451469715685, -281.84073061076924, -3.4350981093011796, 8.820554045494646, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355026576588E9, 0.0, 2023-09-20 15:45:02.657
100.0, 922.4687634706497, -173.94648683909327, 45.045225016307086, 14.748295475263149, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355026576588E9, 0.0, 2023-09-20 15:45:02.657
0.0, 148.9396457853727, 199.80976498266682, 17.9159907377325, 12.392158503178507, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355026584508E9, 0.0, 2023-09-20 15:45:02.658
1.0, 331.61318917106837, -38.36763364542276, -39.67098877998069, 5.910911879967898, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355026705968E9, 0.0, 2023-09-20 15:45:02.670
1.0, 497.8704417012632, 87.42577131418511, -9.44885723805055, 10.402531726751477, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355026705968E9, 0.0, 2023-09-20 15:45:02.670
2.0, 305.3422619323246, 287.1420387979597, 43.67642163252458, 14.374305479694158, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695235502685706E9, 0.0, 2023-09-20 15:45:02.685
2.0, 150.8357750629075, 188.48534791683778, 14.449103478807956, 16.969796048942953, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695235502685706E9, 0.0, 2023-09-20 15:45:02.685
3.0, 65.56231617322192, -1.8811696777120233, -44.304724825080484, 3.2331435116939247, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355027014353E9, 0.0, 2023-09-20 15:45:02.701
3.0, 162.44442452536896, 119.27101943688467, -12.044347807299346, 4.785201993305236, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355027014353E9, 0.0, 2023-09-20 15:45:02.701
4.0, 212.40574803343043, 305.2543742833659, 53.06357052130625, 18.619091929402202, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355027020347E9, 0.0, 2023-09-20 15:45:02.702
4.0, 55.928333887364715, 178.44745643576607, 10.357652927283198, 11.344986515585333, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355027020347E9, 0.0, 2023-09-20 15:45:02.702
5.0, -45.16490181488916, 25.80530969426036, -36.09938432229683, 9.819107333663851, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69523550271564E9, 0.0, 2023-09-20 15:45:02.715
5.0, 139.2682644999586, 130.27380510652438, -7.597606759984046, 11.771335110533983, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69523550271564E9, 0.0, 2023-09-20 15:45:02.715
6.0, 270.5873716440983, 278.2448168033734, 40.635882968548685, 12.496875701937824, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355027312164E9, 0.0, 2023-09-20 15:45:02.731
6.0, 171.64083851641044, 200.13139637885615, 10.937337420415133, 14.886671773623675, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355027312164E9, 0.0, 2023-09-20 15:45:02.731
7.0, -45.23969981400296, 9.544224686920643, -37.830958001781255, 11.715236611198634, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355027318933E9, 0.0, 2023-09-20 15:45:02.731
7.0, -213.1406383747235, 86.30380132747814, -17.025894548278302, 7.137599065434188, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355027318933E9, 0.0, 2023-09-20 15:45:02.731
8.0, -406.8132275301032, 266.1275409469381, 41.451181158889085, 15.189603670034558, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355027455919E9, 0.0, 2023-09-20 15:45:02.745
8.0, -351.1242472399026, 121.42146191140637, 19.408210820052773, 19.51666791876778, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355027455919E9, 0.0, 2023-09-20 15:45:02.745
9.0, -178.60453223390505, -44.97229696717113, -43.908295429777354, 9.658291635569185, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355027616363E9, 0.0, 2023-09-20 15:45:02.761
9.0, 41.481100358534604, 114.38297019479796, -9.516175437252969, 8.397945350501686, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355027616363E9, 0.0, 2023-09-20 15:45:02.761
10.0, 174.72251607989892, 290.20127696171403, 46.627202697563916, 20.70595610467717, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355027620165E9, 0.0, 2023-09-20 15:45:02.762
10.0, -1.4753905325196683, 150.24487086990848, 10.600746424403042, 16.868818750139326, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355027620165E9, 0.0, 2023-09-20 15:45:02.762
11.0, -62.020630915183574, -19.30910347122699, -44.37952282419428, 6.453197373542935, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355027756233E9, 0.0, 2023-09-20 15:45:02.775
11.0, 172.93858380103484, 88.52904180111364, -7.406871862243861, 9.108526342082769, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355027756233E9, 0.0, 2023-09-20 15:45:02.775
12.0, 272.8425313173793, 283.3946590423584, 38.0366524993442, 12.908264697063714, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355027912045E9, 0.0, 2023-09-20 15:45:02.791
12.0, 58.385448158252984, 165.83277388522401, 17.06703344779089, 18.32737973285839, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355027912045E9, 0.0, 2023-09-20 15:45:02.791
13.0, -92.65041155228391, -8.82990379538387, -39.21472098538652, 8.895352044608444, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355027920265E9, 0.0, 2023-09-20 15:45:02.792
13.0, 148.7937896871008, 130.40470160497352, -16.823939950671047, 9.374059238936752, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355027920265E9, 0.0, 2023-09-20 15:45:02.792
14.0, -48.940330820158124, 324.09599026013166, 41.76533275516704, 18.70510962838307, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695235502805608E9, 0.0, 2023-09-20 15:45:02.805
14.0, 81.61770668299869, 150.33836836880073, 12.713789899367839, 18.33859943272546, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695235502805608E9, 0.0, 2023-09-20 15:45:02.805
15.0, -136.64659463101998, -82.00478632841259, -45.4117352119647, 8.502662549261004, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69523550282121E9, 0.0, 2023-09-20 15:45:02.821
15.0, -227.3335587065667, 97.27292789751664, -11.356206215452403, 12.762408598791808, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69523550282121E9, 0.0, 2023-09-20 15:45:02.821
16.0, -463.6821462563239, 310.64357011951506, 39.52887258166447, 21.730688692536205, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695235502822117E9, 0.0, 2023-09-20 15:45:02.822
16.0, -473.15531284408644, 155.81732180388644, 14.774474774952978, 11.636698712129146, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.695235502822117E9, 0.0, 2023-09-20 15:45:02.822
17.0, -233.41837593447417, -7.042231616564095, -36.50329351751134, 8.487702949438244, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355028355892E9, 0.0, 2023-09-20 15:45:02.835
17.0, -415.3551590288989, 128.49735262757167, -5.712697182316333, 11.187910717446357, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355028355892E9, 0.0, 2023-09-20 15:45:02.835
18.0, -637.7838389435783, 302.2100957194343, 48.239099578466266, 14.213489781599492, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355028512857E9, 0.0, 2023-09-20 15:45:02.851
18.0, -448.4644933366217, 184.59959186287597, 15.09610617114231, 21.47637549554929, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355028512857E9, 0.0, 2023-09-20 15:45:02.851
19.0, -557.6059937435202, -6.705640620552003, -38.93796838866547, 15.87400536192581, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355028519433E9, 0.0, 2023-09-20 15:45:02.851
19.0, -782.1851161327213, 124.93322796979919, -17.429803743492812, 10.155698329675943, 0.1600000075995922, -0.06400000303983688, 0.9600000455975533, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6952355028519433E9, 0.0, 2023-09-20 15:45:02.851
